"","parameter_group","counts","procedure","GroupingTerm","lnCVR","lnCVR_lower","lnCVR_upper","lnCVR_se","lnVR","lnVR_lower","lnVR_upper","lnVR_se","lnRR","lnRR_lower","lnRR_upper","lnRR_se"
"1","pre-pulse inhibition",5,"Acoustic Startle and Pre-pulse Inhibition (PPI)","Behaviour",0.0232962568019827,-0.0802562786954972,0.126848792299463,0.0370506575307838,0.00910276053065443,-0.0364639931329,0.0546695141942088,0.0143430617862661,-0.00521557517303268,-0.0427126404416144,0.032281490095549,0.0128092386432555
"2","B cells",4,"Immunophenotyping","Immunology",-0.0938958674644726,-0.250002005587642,0.0622102706586968,0.0426972094061278,-0.0995336567150024,-0.206800139346798,0.00773282591679322,0.0250131613440625,-0.00262809378381563,-0.129822966570309,0.124566779002678,0.0393017559020506
"3","cd4 nkt",6,"Immunophenotyping","Immunology",-0.0287687758526535,-0.0566986598381858,-0.000838891867121189,0.0101633512527761,-0.201874583045436,-0.310229372654365,-0.0935197934365068,0.0331161235518701,-0.234445022877891,-0.400526574413407,-0.0683634713423744,0.0633501055282787
"4","cd4 t",7,"Immunophenotyping","Immunology",-0.150738702494515,-0.242797621515982,-0.058679783473049,0.0360690036325553,-0.169921252587411,-0.262944964585464,-0.0768975405893575,0.0348324368737332,-0.00312418444411775,-0.041156426432336,0.0349080575441005,0.014898909643987
"5","cd8 nkt",6,"Immunophenotyping","Immunology",-0.042440226223295,-0.0782045864833509,-0.00667586596323911,0.0119223348161128,-0.030044191021517,-0.182359422657429,0.122271040614395,0.0533765313889873,0.0035372397021313,-0.0573748805206848,0.0644493599249474,0.020527197115372
"6","cd8 t",7,"Immunophenotyping","Immunology",-0.122368146481511,-0.217997584365854,-0.0267387085971691,0.0358726772662009,-0.158169754267307,-0.23425787337113,-0.082081635163484,0.0270229229830218,-0.0415806199422672,-0.0510391426075819,-0.0321220972769525,0.00231186428450047
"7","cdcs",2,"Immunophenotyping","Immunology",-0.0362947395116383,-0.358863693864057,0.286274214840781,0.0253867272761678,0.108024766037869,-0.0565717936601207,0.272621325735859,0.012954030185692,0.164254054275859,-0.170152012622376,0.498660121174093,0.0263183282373986
"8","dn nkt",6,"Immunophenotyping","Immunology",-0.0619371404437832,-0.135938002098187,0.01206372121062,0.0257745837107186,-0.157212859707534,-0.28143420572403,-0.0329915136910369,0.0447162691730338,-0.172710528106346,-0.290635646307321,-0.054785409905372,0.0441033710925336
"9","dn t",7,"Immunophenotyping","Immunology",-0.0796127149127067,-0.18444807998825,0.0252226501628366,0.0420063031390457,-0.242103772212624,-0.343167842966849,-0.141039701458398,0.0406314212755239,-0.229814709736725,-0.25197080093905,-0.207658618534401,0.00723730991828787
"10","eosinophils",3,"Hematology","Hematology",-0.0662224916564998,-0.280663102371229,0.14821811905823,0.0325859094533208,-0.0154112489007383,-0.405165180074006,0.374342682272529,0.0865365803737346,-0.00424218435223172,-0.240920558257012,0.232436189552548,0.0508093357727296
