"","parameter_group","counts","procedure","GroupingTerm","lnCVR","lnCVR_lower","lnCVR_upper","lnCVR_se","lnVR","lnVR_lower","lnVR_upper","lnVR_se","lnRR","lnRR_lower","lnRR_upper","lnRR_se"
"1","pre-pulse inhibition",5,"Acoustic Startle and Pre-pulse Inhibition (PPI)","Behaviour",0.0232962568019804,-0.0802562786954966,0.126848792299457,0.0370506575307829,0.00910276053065511,-0.0364639931329001,0.0546695141942103,0.0143430617862661,-0.00521557517303265,-0.0427126404416142,0.0322814900955489,0.0128092386432555
"2","B cells",4,"Immunophenotyping","Immunology",-0.0938958674644716,-0.250002005587635,0.0622102706586914,0.0426972094061271,-0.0995336567150036,-0.206800139346802,0.007732825916795,0.0250131613440632,-0.00262809378381573,-0.12982296657031,0.124566779002678,0.0393017559020506
"3","cd4 nkt",6,"Immunophenotyping","Immunology",-0.0287687758526548,-0.0566986598381886,-0.000838891867120981,0.0101633512527766,-0.201874583045433,-0.310229372654363,-0.093519793436503,0.0331161235518715,-0.23444502287789,-0.400526574413405,-0.0683634713423745,0.0633501055282784
"4","cd4 t",7,"Immunophenotyping","Immunology",-0.150738702494516,-0.242797621515984,-0.0586797834730477,0.036069003632556,-0.169921252587411,-0.262944964585468,-0.0768975405893538,0.0348324368737344,-0.00312418444411703,-0.0411564264323345,0.0349080575441005,0.0148989096439867
"5","cd8 nkt",6,"Immunophenotyping","Immunology",-0.0424402262232944,-0.0782045864833515,-0.00667586596323735,0.0119223348161133,-0.0300441910215099,-0.182359422657406,0.122271040614386,0.0533765313889814,0.00353723970212928,-0.0573748805206878,0.0644493599249464,0.0205271971153725
"6","cd8 t",7,"Immunophenotyping","Immunology",-0.122368146481512,-0.217997584365858,-0.0267387085971661,0.0358726772662021,-0.158169754267303,-0.234257873371126,-0.0820816351634808,0.0270229229830225,-0.0415806199422669,-0.0510391426075816,-0.0321220972769523,0.00231186428450045
"7","cdcs",2,"Immunophenotyping","Immunology",-0.0362947395116383,-0.358863693864054,0.286274214840777,0.0253867272761676,0.108024766037871,-0.0565717936600985,0.272621325735841,0.0129540301856905,0.164254054275857,-0.170152012622368,0.498660121174082,0.026318328237398
"8","dn nkt",6,"Immunophenotyping","Immunology",-0.0619371404437794,-0.135938002098192,0.0120637212106327,0.0257745837107216,-0.157212859707538,-0.281434205724047,-0.0329915136910292,0.0447162691730373,-0.17271052810635,-0.290635646307322,-0.0547854099053773,0.0441033710925329
"9","dn t",7,"Immunophenotyping","Immunology",-0.0796127149127068,-0.184448079988249,0.0252226501628358,0.0420063031390454,-0.242103772212627,-0.343167842966852,-0.141039701458402,0.0406314212755234,-0.229814709736723,-0.251970800939052,-0.207658618534395,0.00723730991828965
"10","eosinophils",3,"Hematology","Hematology",-0.0662224916564999,-0.280663102371237,0.148218119058237,0.0325859094533211,-0.0154112489007383,-0.405165180074006,0.374342682272529,0.0865365803737347,-0.00424218435222954,-0.24092055825701,0.232436189552551,0.0508093357727298
"11","follicular b cells",2,"Immunophenotyping","Immunology",-0.116007682942895,-0.725669203695282,0.493653837809492,0.0479814022685054,-0.105019351910469,-0.694636425510994,0.484597721690057,0.0464038700652981,0.00524270522118814,-0.187238143506971,0.197723553949348,0.0151485713259575
"12","luc",2,"Hematology","Hematology",0.0180435667022175,-0.203846424154982,0.239933557559417,0.0174631210077607,0.265703502719042,-1.22513577067917,1.75654277611725,0.117331595417613,0.221549650798933,-1.41363889057118,1.85673819216905,0.128692129185886
"13","lymphocytes",2,"Hematology","Hematology",0.0805229832152261,-2.26181282246331,2.42285878889376,0.184345825863319,0.155015901820829,-1.08927061873105,1.39930242237271,0.0979274729462991,0.0602144440965069,-1.0131287159629,1.13355760415591,0.0844739387052049
"14","monocytes",3,"Hematology","Hematology",-0.0214677255461465,-0.203370610884903,0.16043515979261,0.0420604700556224,0.0784876215535237,-0.181100495501768,0.338075738608816,0.0585592999698774,0.102519340669375,-0.148337539168244,0.353376220506995,0.0571438174006914
"15","neutrophils",3,"Hematology","Hematology",0.258744587834298,0.0130803115873769,0.50440886408122,0.0557515555628967,0.37998052929448,-0.206044620735059,0.966005679324018,0.131798008074079,0.131937215715604,-0.266932386457746,0.530806817888954,0.0924336089073436
"16","nk cells",6,"Immunophenotyping","Immunology",-0.0414771690508551,-0.0960405856451719,0.0130862475434618,0.0200411384048214,0.0156533143037745,-0.070378945474938,0.101685574082487,0.0315487182627779,0.0471757359486321,-0.016221333220012,0.110572805117276,0.0231830532662641
"17","nkt cells",4,"Immunophenotyping","Immunology",0.00337566935639008,-0.106989042627936,0.113740381340716,0.0294660904685012,-0.245870515210806,-0.445233336681778,-0.0465076937398343,0.042673770699731,-0.182335470899894,-0.323394606973304,-0.0412763348264832,0.0314580383354724
"18","percentage of live gated events",2,"Immunophenotyping","Immunology",-0.0934933290911224,-0.303733964777584,0.11674730659534,0.0165462968724174,-0.0412606237796361,-0.141444316092243,0.0589230685329705,0.00788462758099455,0.0500940920717121,0.00811913488444645,0.0920690492589779,0.00330350077452812
